,Topic,Words,Frequency,Timestamp
405,22,"acp, canal, panama, ucoc, jrl",8,2011.2
406,23,"cob, bolivia, miners, bolivian, fesimras",9,2011.2
407,24,"sintraenfi, firm, subsections, sintrabancol, uneb",4,2011.2
408,29,"sinprodoh, pricphma, honduran, se, secretariat",8,2011.2
409,-1,"salary, ii, iii, suntracs, compilation",134,2014.8
410,0,"asic, gottardi, acdac, hernndez, dse",22,2014.8
411,1,"acdac, colombia, foundation, sintracoal, substantive",33,2014.8
412,2,"sintragfour, binational, murcia, sitramsa, sph",22,2014.8
413,3,"buenos, aires, uda, appj, city",31,2014.8
414,4,"sutfra, sunitel, binational, roundtables, entity",20,2014.8
